x,y
298.0,148.0
297.9873417721519,148.0126582278481
297.9746835443038,148.0253164556962
297.9620253164557,148.0379746835443
297.9493670886076,148.0506329113924
297.9367088607595,148.0632911392405
297.9240506329114,148.0759493670886
297.9113924050633,148.08860759493672
297.8987341772152,148.1012658227848
297.88607594936707,148.1139240506329
297.873417721519,148.126582278481
297.8607594936709,148.13924050632912
297.8481012658228,148.15189873417722
297.8354430379747,148.16455696202533
297.82278481012656,148.1772151898734
297.8101265822785,148.18987341772151
297.7974683544304,148.20253164556962
297.7848101265823,148.21518987341773
297.7721518987342,148.22784810126583
297.75949367088606,148.2405063291139
297.746835443038,148.25316455696202
297.73417721518985,148.26582278481013
297.72151898734177,148.27848101265823
297.7088607594937,148.29113924050634
297.69620253164555,148.30379746835442
297.6835443037975,148.31645569620252
297.67088607594934,148.32911392405063
297.65822784810126,148.34177215189874
297.6455696202532,148.35443037974684
297.63291139240505,148.36708860759492
297.62025316455697,148.37974683544303
297.60759493670884,148.39240506329114
297.59493670886076,148.40506329113924
297.5822784810127,148.41772151898735
297.56962025316454,148.43037974683546
297.55696202531647,148.44303797468353
297.54430379746833,148.45569620253164
297.53164556962025,148.46835443037975
297.5189873417722,148.48101265822785
297.50632911392404,148.49367088607596
297.49367088607596,148.50632911392404
297.4810126582278,148.51898734177215
297.46835443037975,148.53164556962025
297.45569620253167,148.54430379746836
297.44303797468353,148.55696202531647
297.43037974683546,148.56962025316454
297.4177215189873,148.58227848101265
297.40506329113924,148.59493670886076
297.39240506329116,148.60759493670886
297.37974683544303,148.62025316455697
297.36708860759495,148.63291139240508
297.3544303797468,148.64556962025316
297.34177215189874,148.65822784810126
297.32911392405066,148.67088607594937
297.3164556962025,148.68354430379748
297.30379746835445,148.69620253164558
297.2911392405063,148.70886075949366
297.27848101265823,148.72151898734177
297.26582278481015,148.73417721518987
297.253164556962,148.74683544303798
297.24050632911394,148.7594936708861
297.2278481012658,148.77215189873417
297.2151898734177,148.78481012658227
297.2025316455696,148.79746835443038
297.1898734177215,148.81012658227849
297.17721518987344,148.8227848101266
297.1645569620253,148.83544303797467
297.1518987341772,148.84810126582278
297.1392405063291,148.86075949367088
297.126582278481,148.873417721519
297.11392405063293,148.8860759493671
297.1012658227848,148.8987341772152
297.0886075949367,148.91139240506328
297.0759493670886,148.9240506329114
297.0632911392405,148.9367088607595
297.0506329113924,148.9493670886076
297.0379746835443,148.9620253164557
297.0253164556962,148.9746835443038
297.0126582278481,148.9873417721519
297.0,149.0
297.0,149.0
296.9367088607595,149.0
296.873417721519,149.0
296.8101265822785,149.0
296.746835443038,149.0
296.6835443037975,149.0
296.62025316455697,149.0
