"","x"
"1",71.4431901585318
"2",95.7113405150968
"3",119.979490871662
"4",144.247641228227
"5",168.515791584792
"6",192.783941941357
"7",217.052092297922
"8",241.320242654487
"9",265.588393011052
"10",289.856543367617
"11",314.124693724182
"12",338.392844080747
"13",362.660994437312
"14",386.929144793877
"15",411.197295150442
"16",435.465445507007
"17",459.733595863572
"18",484.001746220137
"19",508.269896576702
"20",532.538046933267
"21",556.806197289832
"22",581.074347646397
"23",605.342498002962
"24",629.610648359526
"25",653.878798716091
"26",403.576879998105
"27",115.112562452904
"28",-91.5187523800613
"29",-63.9525778665467
"30",177.146990456594
"31",507.943749025893
"32",684.932926228913
"33",749.066140978204
"34",581.38961872996
"35",169.55718727253
"36",-208.618407965565
"37",-219.296320330979
"38",110.127776405618
"39",589.980078270418
"40",912.192527279743
"41",965.530602745944
"42",745.64063334035
"43",455.337721408532
"44",338.338923810844
"45",514.762634602976
"46",811.374709297288
"47",681.899225926045
"48",401.764946023636
"49",356.761371976714
"50",251.839422215949
"51",-128.410278740988
"52",-508.659979697928
"53",-623.556809841468
"54",-623.556809841468
"55",-623.556809841468
"56",-623.556809841468
"57",-623.556809841468
"58",-623.556809841468
"59",-360.737917796017
"60",-291.987721350172
"61",-14.7828863964954
"62",179.545349249441
"63",-9.0669559453579
"64",-623.556809841468
"65",-623.556809841468
"66",-623.556809841468
"67",-623.556809841468
"68",-623.556809841468
"69",-623.556809841468
"70",-623.556809841468
"71",-623.556809841468
"72",-623.556809841468
"73",-623.556809841468
"74",-623.556809841468
"75",-623.556809841468
"76",-623.556809841468
"77",-623.556809841468
"78",-623.556809841468
"79",-623.556809841468
"80",-623.556809841468
"81",-623.556809841468
"82",-623.556809841468
"83",-623.556809841468
"84",-623.556809841468
"85",-623.556809841468
"86",-623.556809841468
"87",-623.556809841468
"88",-623.556809841468
"89",-623.556809841468
"90",-348.818308759231
"91",370.554627108679
"92",311.556710566695
"93",150.653417431261
"94",13.2521390221685
"95",48.6621984229928
"96",208.577487679192
"97",445.832606712127
"98",541.06888945923
"99",339.681471408533
"100",46.1956252234669
"101",-228.489316728518
"102",-328.60611336053
"103",-163.357779092805
"104",151.594134846371
"105",502.31451882986
"106",756.514000877665
"107",632.583963564233
"108",278.144852302359
"109",-41.5472404634744
"110",-194.771464504986
"111",-163.804000852704
"112",0.561122531034698
"113",290.163811001103
"114",556.648524754492
"115",663.897735613077
"116",597.05750494822
"117",375.584604299949
"118",105.761514022169
"119",0.531542431259254
"120",-495.866701793772
"121",-623.556809841468
"122",-623.556809841468
"123",-623.556809841468
"124",-623.556809841468
"125",-623.556809841468
"126",-623.556809841468
"127",-623.556809841468
"128",-623.556809841468
"129",-623.556809841468
"130",-623.556809841468
"131",-623.556809841468
"132",-623.556809841468
"133",-623.556809841468
"134",-623.556809841468
"135",-623.556809841468
"136",-623.556809841468
"137",-623.556809841468
"138",-623.556809841468
"139",-623.556809841468
"140",-623.556809841468
"141",-75.5740176336918
"142",493.443190158532
"143",494.553940519282
"144",490.777356825199
"145",472.100333015674
"146",437.81074777697
"147",425.443190158532
"148",426.022639311074
"149",436.443190158532
"150",436.443190158532
"151",431.819001846844
"152",410.241485613078
"153",376.923427312682
"154",336.956121193015
"155",307.701386879843
"156",314.966106825199
"157",324.376126075074
"158",316.429870486401
"159",310.270841673683
"160",300.723182706967
