"","x"
"175",-233.693164895234
"176",-228.239704510133
"177",-210.722408654947
"178",-192.906193619981
"179",-174.287337911736
"180",-158.61439167193
"181",-145.589617533025
"182",-134.369529812091
"183",-120.273239074527
"184",-105.986643000147
"185",-98.7916102866484
"186",-86.1620783602414
"187",-70.9240138679154
"188",-56.6996428178425
"189",-47.6935146037922
"190",-33.7989184223532
"191",-19.3983637973652
"192",-6.28158354868015
"193",5.48869274365484
"194",14.7678766279525
"195",22.3711038108484
"196",39.8620410523229
"197",54.6534654709276
"198",63.9885188104452
"199",76.5540336527458
"200",93.1229902643158
"201",102.00397763482
"202",114.092713722676
"203",126.619729675473
"204",140.344907957013
"205",150.464545016382
"206",162.869090470927
"207",176.941308524101
"208",186.325873141382
"209",204.079936059163
"210",213.77681591081
"211",226.676304151854
"212",236.030345484297
"213",252.254287521218
"214",264.271450164805
"215",274.980351351005
"216",289.238692743656
"217",304.537894871314
"218",316.227329107291
"219",329.519567529246
"220",338.040776076988
"221",350.919467326215
"222",362.142338576988
"223",371.775056380018
"224",378.057442743655
"225",385.87137990943
"226",403.562752304784
"227",415.498014476609
"228",426.120066578154
"229",435.958892187068
"230",451.739052352401
"231",460.536633084564
"232",469.932009843222
"233",477.411041228503
"234",494.306838600962
"235",508.851211372567
"236",525.982113796287
"237",544.766113692271
"238",555.90358384214
"239",567.123468813173
"240",577.552449299599
"241",591.716161395693
"242",602.631612324074
"243",612.393877402746
"244",623.398504480425
"245",635.534237476699
"246",647.891258439677
"247",661.602058544521
"248",674.094217564229
"249",685.502279700176
"250",693.585283652746
"251",693.585283652746
"252",693.585283652746
"253",693.585283652746
"254",693.585283652746
"255",693.585283652746
"256",693.585283652746
"257",693.585283652746
"258",693.585283652746
"259",693.585283652746
"260",693.585283652746
"261",693.585283652746
"262",693.585283652746
"263",693.585283652746
"264",693.585283652746
"265",693.585283652746
"266",693.585283652746
"267",693.585283652746
"268",693.585283652746
"269",693.585283652746
"270",693.585283652746
"271",693.585283652746
"272",693.585283652746
"273",693.585283652746
"274",693.585283652746
"275",693.585283652746
"276",693.585283652746
"277",693.585283652746
"278",693.585283652746
"279",693.585283652746
"280",693.585283652746
"281",693.585283652746
"282",693.585283652746
"283",693.585283652746
"284",693.585283652746
"285",693.585283652746
"286",693.585283652746
"287",693.585283652746
"288",693.585283652746
"289",693.585283652746
"290",693.585283652746
"291",693.585283652746
"292",693.585283652746
"293",693.585283652746
"294",693.585283652746
"295",693.585283652746
"296",693.585283652746
"297",693.585283652746
"298",693.585283652746
"299",693.585283652746
"300",693.585283652746
"301",693.585283652746
"302",693.585283652746
"303",693.585283652746
"304",693.585283652746
"305",693.585283652746
"306",693.585283652746
"307",693.585283652746
"308",693.585283652746
"309",693.585283652746
"310",693.585283652746
"311",693.585283652746
"312",693.585283652746
"313",693.585283652746
"314",693.585283652746
"315",693.585283652746
"316",693.585283652746
"317",693.585283652746
"318",693.585283652746
"319",693.585283652746
"320",693.585283652746
"321",693.585283652746
"322",693.585283652746
"323",693.585283652746
"324",693.585283652746
"325",693.585283652746
"326",693.585283652746
"327",693.585283652746
"328",693.585283652746
"329",693.585283652746
"330",693.585283652746
"331",693.585283652746
"332",693.585283652746
"333",693.585283652746
"334",693.585283652746
"335",693.585283652746
"336",693.585283652746
"337",693.585283652746
"338",693.585283652746
"339",693.585283652746
"340",693.585283652746
"341",693.585283652746
"342",693.585283652746
"343",693.585283652746
"344",693.585283652746
"345",693.585283652746
"346",693.585283652746
"347",693.585283652746
"348",693.585283652746
"349",693.585283652746
"350",693.585283652746
"351",693.585283652746
"352",693.585283652746
"353",693.585283652746
"354",693.585283652746
"355",693.585283652746
"356",693.585283652746
"357",693.585283652746
"358",693.585283652746
"359",693.585283652746
"360",693.585283652746
"361",693.585283652746
"362",693.585283652746
"363",693.585283652746
"364",693.585283652746
"365",693.585283652746
"366",693.585283652746
"367",693.585283652746
"368",693.585283652746
"369",693.585283652746
"370",693.585283652746
"371",693.585283652746
"372",693.585283652746
"373",693.585283652746
"374",693.585283652746
"375",693.585283652746
"376",693.585283652746
"377",693.585283652746
"378",693.585283652746
"379",693.585283652746
"380",693.585283652746
"381",693.585283652746
"382",693.585283652746
"383",693.585283652746
"384",693.585283652746
"385",693.585283652746
"386",693.585283652746
"387",693.585283652746
"388",693.585283652746
"389",693.585283652746
"390",693.585283652746
