"","x"
"93",-888.41700206936
"94",-479.510244764164
"95",-126.608806477073
"96",-17.1429834743176
"97",-344.855010888896
"98",-734.392439132291
"99",-1033.17339411481
"100",-1033.30255401741
"101",-735.790452482585
"102",-223.862658227718
"103",159.724876272888
"104",226.855246013885
"105",24.2544140145596
"106",-554.214746302732
"107",-938.431503426209
"108",-1046.26350817519
"109",-783.58805470094
"110",-441.765806673846
"111",-82.0653039079689
"112",237.090481300931
"113",155.879145380753
"114",-220.54373818047
"115",-532.131017220871
"116",-685.846530563252
"117",-619.344541351067
"118",-326.835183887542
"119",62.672770657914
"120",-958.355712948627
"121",-1256.86586570572
"122",-1256.86586570572
"123",-1256.86586570572
"124",-1256.86586570572
"125",-1256.86586570572
"126",-1256.86586570572
"127",-1256.86586570572
"128",-1256.86586570572
"129",-1256.86586570572
"130",-1256.86586570572
"131",-1256.86586570572
"132",-1256.86586570572
"133",-1256.86586570572
"134",-1256.86586570572
"135",-1256.86586570572
"136",-1256.86586570572
"137",-1256.86586570572
"138",-1256.86586570572
"139",-1256.86586570572
"140",-1256.86586570572
"141",-75.5385929784832
"142",1151.13413429428
"143",1161.68626272141
"144",1181.16246762761
"145",1199.21984857999
"146",1208.01161508813
"147",1212.81180384695
"148",1226.08232381662
"149",1243.13413429428
"150",1243.13413429428
"151",1243.13413429428
"152",1232.13926625909
"153",1212.78037935357
"154",1197.37776673942
"155",1196.73044576969
"156",1220.09199414276
"157",1239.33532654465
"158",1246.22746514376
"159",1248.30648277913
"160",1231.07126171604
"161",-230.301694582733
"162",-1171.30418717341
"163",-1051.63983587618
"164",-1052.38469687455
"165",-1057.96385378322
"166",-1049.97097934209
"167",-1050.86586570572
"168",-1050.86586570572
"169",-1050.86586570572
"170",-1050.86586570572
"171",-1050.86586570572
"172",-1050.24440654894
"173",-1044.38757533937
"174",-1036.76792198278
"175",-1032.99496924108
"176",-1031.24986191784
"177",-1050.81971185957
"178",-1256.86586570572
"179",-1256.86586570572
"180",-1256.86586570572
"181",-1256.86586570572
"182",-1256.86586570572
"183",-1256.86586570572
"184",-1256.86586570572
"185",-1256.86586570572
"186",-1256.86586570572
"187",-1256.86586570572
"188",-1256.86586570572
"189",-1256.86586570572
"190",-1256.86586570572
"191",-1256.86586570572
"192",-1256.86586570572
"193",-700.309047523911
"194",936.134134294278
"195",-724.326587049532
"196",-1256.86586570572
"197",-1256.86586570572
"198",-1256.86586570572
"199",-1256.86586570572
"200",-1256.86586570572
"201",-1256.86586570572
"202",-1256.86586570572
"203",-1256.86586570572
"204",-1256.86586570572
"205",-1256.86586570572
"206",-1256.86586570572
"207",-1256.86586570572
"208",-1256.86586570572
"209",-1256.86586570572
"210",-1256.86586570572
"211",-1256.86586570572
"212",-1256.86586570572
"213",-1256.86586570572
"214",-1256.86586570572
"215",-1256.86586570572
"216",-1256.86586570572
"217",-1256.86586570572
"218",-1256.86586570572
"219",-1256.86586570572
"220",-1256.86586570572
"221",-469.779131011844
"222",1272.13413429428
"223",1274.6859524761
"224",1279.71186156701
"225",1283.41042662939
"226",1284.13413429428
"227",1290.15828202155
"228",1297.55917800057
"229",1301.13413429428
"230",1301.69951116424
"231",1302.13413429428
"232",957.506902151421
"233",-956.37722934204
"234",-981.937068237373
"235",-1084.07488209916
"236",-1256.86586570572
"237",1106.13413429428
"238",1116.79831516549
"239",1132.43644044401
"240",1139.23837380477
"241",1145.38648539146
"242",1154.33509583274
"243",1170.12046241928
"244",1181.22953795778
"245",1174.12764078778
"246",1141.63262506132
"247",-149.791911881749
"248",-1256.86586570572
"249",-1256.86586570572
"250",-1049.97582345631
"251",-690.349475845588
"252",-330.723128234863
"253",28.9032193758615
"254",388.529566986586
"255",539.240909594449
"256",571.780497930638
"257",776.66234746042
"258",947.595497930641
"259",1062.3255826764
"260",1138.05117974882
"261",1200.36471280667
"262",1213.54577622378
"263",1230.26428009188
"264",1256.82431737509
"265",1288.6526528128
"266",1296.13413429428
"267",1296.13413429428
"268",1298.70312780077
"269",1302.13413429428
"270",1302.13413429428
"271",1302.13413429428
"272",1299.47417666716
"273",1289.60100640522
"274",1285.74279906701
"275",1285.13413429428
"276",1285.13413429428
"277",1285.13413429428
"278",1285.13413429428
"279",1285.13413429428
"280",1285.13413429428
"281",1285.13413429428
"282",1289.1349047103
