"","x"
"493",30909.3409090909
"494",30972.1647727273
"495",31034.9886363636
"496",31097.8125
"497",31160.6363636364
"498",31223.4602272727
"499",31286.2840909091
"500",31349.1079545455
"501",31411.9318181818
"502",31474.7556818182
"503",31537.5795454545
"504",31600.4034090909
"505",31663.2272727273
"506",31726.0511363636
"507",31788.875
"508",31851.6988636364
"509",31914.5227272727
"510",31977.3465909091
"511",32040.1704545455
"512",32102.9943181818
"513",32165.8181818182
"514",32228.6420454545
"515",32291.4659090909
"516",32354.2897727273
"517",32417.1136363636
"518",32479.9375
"519",32542.7613636364
"520",32605.5852272727
"521",32668.4090909091
"522",32731.2329545455
"523",32794.0568181818
"524",32856.8806818182
"525",32919.7045454545
"526",32982.5284090909
"527",33045.3522727273
"528",33108.1761363636
"529",33171
