"","x"
"353",-48.9964772658672
"354",-48.9964772658672
"355",-48.9964772658672
"356",-48.9964772658672
"357",-48.9964772658672
"358",-48.9964772658672
"359",-48.9964772658672
"360",-48.9964772658672
"361",-48.9964772658672
"362",-48.9964772658672
"363",-48.9964772658672
"364",-48.9964772658672
"365",-48.9964772658672
"366",-48.9964772658672
"367",-48.9964772658672
"368",-48.9964772658672
"369",-48.9964772658672
"370",-48.9964772658672
"371",-48.9964772658672
"372",-48.9964772658672
"373",-48.9964772658672
"374",-48.9964772658672
"375",-48.9964772658672
"376",-48.9964772658672
"377",-48.9964772658672
"378",-48.9964772658672
"379",-48.9964772658672
"380",-48.9964772658672
"381",-48.9964772658672
"382",-48.9964772658672
"383",-48.9964772658672
"384",-48.9964772658672
"385",-48.9964772658672
"386",-48.9964772658672
"387",-48.9964772658672
"388",-48.9964772658672
"389",-48.9964772658672
"390",-48.9964772658672
"391",-48.9964772658672
"392",-48.9964772658672
"393",-48.9964772658672
"394",-48.9964772658672
"395",-48.9964772658672
"396",-48.9964772658672
"397",-48.9964772658672
"398",-48.9964772658672
"399",-48.9964772658672
"400",-48.9964772658672
"401",-48.9964772658672
"402",-48.9964772658672
"403",-48.9964772658672
"404",-48.9964772658672
"405",-48.9964772658672
"406",-48.9964772658672
"407",-48.9964772658672
"408",-48.9964772658672
"409",-48.9964772658672
"410",-48.9964772658672
"411",-48.9964772658672
"412",-48.9964772658672
"413",-48.9964772658672
"414",-48.9964772658672
"415",-48.9964772658672
"416",-48.9964772658672
"417",-48.9964772658672
"418",-48.9964772658672
"419",-48.9964772658672
"420",-48.9964772658672
"421",-48.9964772658672
"422",-48.9964772658672
"423",-48.9964772658672
"424",-48.9964772658672
"425",-48.9964772658672
"426",-48.9964772658672
"427",-48.9964772658672
"428",-48.9964772658672
"429",-48.9964772658672
"430",-48.9964772658672
"431",-48.9964772658672
"432",-48.9964772658672
"433",-48.9964772658672
"434",-48.9964772658672
"435",-48.9964772658672
"436",-48.9964772658672
"437",-48.9964772658672
"438",-48.9964772658672
"439",-48.9964772658672
"440",-48.9964772658672
"441",-48.9964772658672
"442",-48.9964772658672
"443",-48.9964772658672
"444",-48.9964772658672
"445",-48.9964772658672
"446",-48.9964772658672
"447",-48.9964772658672
"448",-48.9964772658672
"449",-48.9964772658672
"450",-48.9964772658672
"451",-48.9964772658672
"452",-48.9964772658672
"453",-48.9964772658672
"454",-48.9964772658672
"455",-48.9964772658672
"456",-48.9964772658672
"457",-48.9964772658672
"458",-48.9964772658672
"459",-48.9964772658672
"460",-48.9964772658672
"461",-48.9964772658672
"462",-48.9964772658672
"463",-48.9964772658672
"464",-48.9964772658672
"465",-48.9964772658672
"466",-48.9964772658672
"467",-48.9964772658672
"468",-48.9964772658672
"469",-48.9964772658672
"470",-48.9964772658672
"471",-48.9964772658672
"472",-48.9964772658672
"473",-48.9964772658672
"474",-48.9964772658672
"475",-48.9964772658672
"476",-48.9964772658672
"477",-48.9964772658672
"478",-48.9964772658672
"479",-48.9964772658672
"480",-48.9964772658672
"481",-48.9964772658672
"482",-48.9964772658672
"483",-48.9964772658672
"484",-48.9964772658672
"485",-48.9964772658672
"486",-48.9964772658672
"487",-48.9964772658672
"488",-48.9964772658672
"489",-48.9964772658672
"490",-48.9964772658672
